鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
士林區,建物,臺北市士林區士東路200巷61~90號,0.0,住,,,1090110,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980720,178.84,3,1,2,有,有,有,82000,459,,0.0,0,售價包含裝潢或家電。;,RPPOMLLLJHPFFEA77CC
北投區,建物,臺北市北投區復興二路60巷1~30號,0.0,住,,,1081230,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840321,75.16000000000001,2,1,1,有,有,有,17000,226,,0.0,0,租期含免租裝潢期。,RPSOMLLLJHPFFEA08CC
大安區,建物,臺北市大安區忠孝東路四段216巷27弄1~30號,0.0,住,,,1090114,土地0建物1車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,,118.82,0,0,0,無,無,無,110000,926,,0.0,0,,RPPNMLLLJHPFFFA77CC
大安區,建物,臺北市大安區臥龍街271~300號,0.0,住,,,1090120,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721230,96.85000000000001,3,2,2,有,無,無,29000,299,,0.0,0,,RPUNMLLLJHPFFFA28CC
文山區,建物,臺北市文山區景興路181~210號,0.0,商,,,1081230,土地0建物1車位0,十八層,24,套房(1房1廳1衛),住家用,見使用執照,0850104,44.769999999999996,1,1,1,有,有,有,15000,335,,0.0,0,租金含管理費。,RPUOMLLLJHPFFAA87CC
文山區,建物,臺北市文山區興隆路四段8巷1弄1~30號,0.0,商,,,1090121,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0600515,62.48,3,2,1,有,無,有,17000,272,,0.0,0,,RPPOMLMLJHPFFAA47CC
信義區,房地(土地+建物),臺北市信義區吳興街156巷22弄1~30號,35.75,住,,,1090101,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640324,93.44,3,2,1,有,無,有,32000,342,,0.0,0,,RPWPMLMLJHPFFDA68DC
大安區,建物,臺北市大安區四維路6巷1~30號,0.0,商,,,1090121,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0750729,126.75,0,0,0,無,無,無,68000,536,,0.0,0,,RPUNMLMLJHPFFFA38CC
北投區,建物,臺北市北投區中央南路二段1~30號,0.0,工,,,1090106,土地0建物1車位1,七層,19,廠辦,見其他登記事項,鋼筋混凝土造,1040828,52.36,0,0,0,無,有,有,21000,401,坡道平面,36.91,0,,RPOPMLMLJHPFFEA87CC
北投區,建物,臺北市北投區義方街1~30號,0.0,住,,,1081222,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0730629,248.93,0,0,0,無,無,無,42000,169,,0.0,0,,RPPPMLMLJHPFFEA97CC
北投區,建物,臺北市北投區中央南路二段31~60號,0.0,工,,,1090103,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0721214,135.07,0,0,1,有,無,有,43000,318,,0.0,0,,RPRPMLMLJHPFFEA18CC
北投區,建物,臺北市北投區懷德街1~30號,0.0,住,,,1090115,土地0建物1車位0,二層,3,公寓(5樓含以下無電梯),住商用,加強磚造,0600719,78.54,2,2,2,有,無,有,22000,280,,0.0,0,,RPTPMLMLJHPFFEA38CC
